t,power,slowness,back_azi
2020-01-01T01:30:47.895000Z,841225.109304,1.0,243.0
2020-01-01T01:30:47.905000Z,870754.26921,1.0,243.0
2020-01-01T01:30:47.915000Z,1000083.32282,0.16,171.0
2020-01-01T01:30:47.925000Z,1139733.47203,0.16,171.0
2020-01-01T01:30:47.935000Z,1030302.57892,0.16,171.0
2020-01-01T01:30:47.945000Z,975085.921862,0.16,168.0
2020-01-01T01:30:47.955000Z,1055008.13465,0.16,174.0
2020-01-01T01:30:47.965000Z,1014186.74054,1.0,0.0
2020-01-01T01:30:47.975000Z,1017193.74106,0.2,177.0
2020-01-01T01:30:47.985000Z,996459.411378,0.2,177.0
2020-01-01T01:30:47.995000Z,939167.28125,0.76,24.0
2020-01-01T01:30:48.005000Z,1009092.33731,0.76,24.0
2020-01-01T01:30:48.015000Z,1028274.45123,0.56,150.0
2020-01-01T01:30:48.025000Z,1256581.43465,0.24,150.0
2020-01-01T01:30:48.035000Z,1216050.79517,0.92,90.0
2020-01-01T01:30:48.045000Z,1148256.1019,0.92,90.0
2020-01-01T01:30:48.055000Z,1092071.45029,0.92,90.0
2020-01-01T01:30:48.065000Z,851924.570556,0.24,150.0
2020-01-01T01:30:48.075000Z,837444.573096,0.24,279.0
2020-01-01T01:30:48.085000Z,1120772.7859,0.92,6.0
2020-01-01T01:30:48.095000Z,1556425.15628,0.2,135.0
2020-01-01T01:30:48.105000Z,1924116.76882,0.2,135.0
2020-01-01T01:30:48.115000Z,1839946.55282,0.2,138.0
2020-01-01T01:30:48.125000Z,1971909.87021,0.2,138.0
2020-01-01T01:30:48.135000Z,1937563.35398,0.2,138.0
2020-01-01T01:30:48.145000Z,1930101.04851,0.2,138.0
2020-01-01T01:30:48.155000Z,20282773.31,0.2,294.0
2020-01-01T01:30:48.165000Z,28992547.8678,0.2,297.0
2020-01-01T01:30:48.175000Z,29004967.0577,0.2,297.0
2020-01-01T01:30:48.185000Z,29049736.8231,0.2,297.0
2020-01-01T01:30:48.195000Z,29361587.4156,0.2,297.0
2020-01-01T01:30:48.205000Z,29084830.7674,0.2,297.0
2020-01-01T01:30:48.215000Z,29404137.2614,0.2,297.0
2020-01-01T01:30:48.225000Z,28816763.0712,0.2,297.0
2020-01-01T01:30:48.235000Z,28741362.4352,0.2,297.0
2020-01-01T01:30:48.245000Z,28598278.652,0.2,297.0
2020-01-01T01:30:48.255000Z,28605981.4848,0.2,297.0
2020-01-01T01:30:48.265000Z,27771098.5321,0.2,297.0
2020-01-01T01:30:48.275000Z,27985114.4487,0.2,297.0
2020-01-01T01:30:48.285000Z,27879440.033,0.2,297.0
2020-01-01T01:30:48.295000Z,27404789.6432,0.2,297.0
2020-01-01T01:30:48.305000Z,27357448.246,0.2,297.0
2020-01-01T01:30:48.315000Z,27247940.2876,0.2,297.0
2020-01-01T01:30:48.325000Z,26879442.1533,0.2,297.0
2020-01-01T01:30:48.335000Z,26957968.5779,0.2,297.0
2020-01-01T01:30:48.345000Z,21164252.5945,0.2,297.0
2020-01-01T01:30:48.355000Z,2445602.91306,0.16,294.0
2020-01-01T01:30:48.365000Z,1239045.93597,0.28,183.0
2020-01-01T01:30:48.375000Z,1185114.70722,0.28,183.0
2020-01-01T01:30:48.385000Z,1283573.54838,0.2,150.0
2020-01-01T01:30:48.395000Z,1603637.21826,0.2,153.0
2020-01-01T01:30:48.405000Z,1637060.26517,0.2,156.0
2020-01-01T01:30:48.415000Z,1637368.83201,0.16,159.0
2020-01-01T01:30:48.425000Z,1468926.41779,0.16,159.0
2020-01-01T01:30:48.435000Z,1472067.40062,0.16,162.0
2020-01-01T01:30:48.445000Z,1423989.57805,0.2,156.0
2020-01-01T01:30:48.455000Z,1809355.01833,0.16,165.0
2020-01-01T01:30:48.465000Z,1615716.41609,0.16,165.0
2020-01-01T01:30:48.475000Z,1414480.64502,0.16,159.0
2020-01-01T01:30:48.485000Z,1476834.62246,0.2,153.0
2020-01-01T01:30:48.495000Z,1731630.56857,0.16,156.0
2020-01-01T01:30:48.505000Z,1730486.14941,0.16,156.0
2020-01-01T01:30:48.515000Z,1602461.2644,0.2,153.0
2020-01-01T01:30:48.525000Z,1483675.18209,0.2,153.0
2020-01-01T01:30:48.535000Z,1398543.08403,0.2,153.0
2020-01-01T01:30:48.545000Z,1390497.30813,0.2,153.0
2020-01-01T01:30:48.555000Z,1605589.19292,0.2,153.0
2020-01-01T01:30:48.565000Z,1539600.92961,0.24,147.0
2020-01-01T01:30:48.575000Z,1571087.58333,0.24,147.0
2020-01-01T01:30:48.585000Z,1330212.40485,0.08,261.0
2020-01-01T01:30:48.595000Z,1448471.04544,0.08,261.0
2020-01-01T01:30:48.605000Z,1356164.11444,0.08,261.0
2020-01-01T01:30:48.615000Z,1400364.53721,0.08,261.0
2020-01-01T01:30:48.625000Z,1411901.51149,0.08,261.0
2020-01-01T01:30:48.635000Z,1504191.68516,0.08,264.0
2020-01-01T01:30:48.645000Z,1269647.41423,0.08,261.0
2020-01-01T01:30:48.655000Z,1892187.81389,0.12,261.0
2020-01-01T01:30:48.665000Z,3330609.78783,0.12,258.0
2020-01-01T01:30:48.675000Z,4050459.19484,0.12,258.0
2020-01-01T01:30:48.685000Z,4282374.82741,0.12,258.0
2020-01-01T01:30:48.695000Z,4441237.19413,0.12,258.0
2020-01-01T01:30:48.705000Z,4432391.95784,0.12,258.0
2020-01-01T01:30:48.715000Z,4764039.22169,0.12,258.0
2020-01-01T01:30:48.725000Z,4570730.78967,0.12,258.0
2020-01-01T01:30:48.735000Z,4770668.18655,0.12,258.0
2020-01-01T01:30:48.745000Z,4910985.04908,0.12,258.0
2020-01-01T01:30:48.755000Z,5049564.39133,0.12,258.0
2020-01-01T01:30:48.765000Z,5430110.67203,0.12,258.0
2020-01-01T01:30:48.775000Z,5300553.0418,0.12,258.0
2020-01-01T01:30:48.785000Z,5257862.6551,0.12,258.0
2020-01-01T01:30:48.795000Z,5156585.40087,0.12,258.0
2020-01-01T01:30:48.805000Z,5178234.90517,0.12,258.0
2020-01-01T01:30:48.815000Z,5326322.14645,0.12,258.0
2020-01-01T01:30:48.825000Z,5618504.54287,0.12,258.0
2020-01-01T01:30:48.835000Z,5304228.32172,0.12,255.0
2020-01-01T01:30:48.845000Z,5130249.20146,0.12,255.0
2020-01-01T01:30:48.855000Z,2388511.99342,0.12,255.0
2020-01-01T01:30:48.865000Z,1518772.45966,0.12,255.0
2020-01-01T01:30:48.875000Z,1190376.84415,0.12,255.0
2020-01-01T01:30:48.885000Z,1015338.29326,0.12,255.0
2020-01-01T01:30:48.895000Z,1066827.2613,0.12,255.0
2020-01-01T01:30:48.905000Z,839019.726984,0.12,261.0
2020-01-01T01:30:48.915000Z,687073.15789,0.76,255.0
2020-01-01T01:30:48.925000Z,797173.650913,0.92,135.0
2020-01-01T01:30:48.935000Z,796353.937468,0.92,135.0
2020-01-01T01:30:48.945000Z,891094.00698,0.32,303.0
2020-01-01T01:30:48.955000Z,1049980.50816,0.36,300.0
2020-01-01T01:30:48.965000Z,1550995.43468,0.12,174.0
2020-01-01T01:30:48.975000Z,11510008.2658,0.16,159.0
2020-01-01T01:30:48.985000Z,13268259.7112,0.16,156.0
